"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"escooccupation","67068eac85654550e3851bd8","67068ead85654550e3851e0f","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384e01b","67068ead85654550e3851e10","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068eac85654550e3851b02","67068ead85654550e3851e11","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3852541","67068ead85654550e3851e12","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e38523c5","67068ead85654550e3851e13","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384dfa3","67068ead85654550e3851e14","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e031","67068ead85654550e3851e15","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e0db","67068ead85654550e3851e16","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384e0dc","67068ead85654550e3851e17","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384df0a","67068ead85654550e3851e18","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e3852193","67068ead85654550e3851e19","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3851e3c","67068ead85654550e3851e1a","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384df6f","67068ead85654550e3851e1b","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e38521f3","67068ead85654550e3851e1c","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384dfc5","67068ead85654550e3851e1d","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384df3c","67068ead85654550e3851e1e","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e3851e20","67068ead85654550e3851e1f","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e385218d","67068ead85654550e3851e20","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"occupationgroup","67068e9c85654550e384df11","67068ead85654550e3851e21","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"occupationgroup","67068e9c85654550e384dfb4","67068ead85654550e3851e22","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e3851e3c","67068ead85654550e3851e23","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
"escooccupation","67068ead85654550e3851e48","67068ead85654550e3851e24","escooccupation","2024-10-09T14:09:53.888Z","2024-10-09T14:09:53.888Z"
