"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","67068e9e85654550e384e3bb","67068ea585654550e38508ff","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e385108a","67068ea585654550e38508ff","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2d8","67068ea585654550e3850900","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e385108a","67068ea585654550e3850900","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea085654550e384f556","67068ea585654550e3850900","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e384f8c4","67068ea585654550e3850900","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e391","67068ea585654550e3850901","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e35d","67068ea585654550e3850902","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e381","67068ea585654550e3850903","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e38510a0","67068ea585654550e3850903","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e3850609","67068ea585654550e3850903","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea085654550e384f252","67068ea585654550e3850903","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e30d","67068ea585654550e3850904","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e3851038","67068ea585654550e3850904","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e24b","67068ea585654550e3850905","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea085654550e384f3ed","67068ea585654550e3850906","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2a9","67068ea585654550e3850907","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e3851633","67068ea585654550e3850907","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e38503e6","67068ea585654550e3850907","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e3c3","67068ea585654550e3850908","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068e9f85654550e384e4a8","67068ea585654550e3850908","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e3a0","67068ea585654550e3850909","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e3850af7","67068ea585654550e3850909","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e296","67068ea585654550e385090a","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e38518b7","67068ea585654550e385090a","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e3c5","67068ea585654550e385090b","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e2c7","67068ea585654550e385090c","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea585654550e38506e1","67068ea585654550e385090c","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2ac","67068ea585654550e385090d","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e391","67068ea585654550e385090e","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e30a","67068ea585654550e385090f","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e34b","67068ea585654550e3850910","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e2c7","67068ea585654550e3850911","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea085654550e384e898","67068ea585654550e3850911","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e384f780","67068ea585654550e3850911","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2d6","67068ea585654550e3850912","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e2ee","67068ea585654550e3850913","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea585654550e385086a","67068ea585654550e3850913","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e3d6","67068ea585654550e3850914","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea085654550e384e818","67068ea585654550e3850914","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2c0","67068ea585654550e3850915","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e39c","67068ea585654550e3850916","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e1b4","67068ea585654550e3850917","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e3c9","67068ea585654550e3850918","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e2e2","67068ea585654550e3850919","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e3c4","67068ea585654550e385091a","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea585654550e384fcb2","67068ea585654550e385091a","skill","2024-10-09T14:10:06.992Z","2024-10-09T14:10:06.992Z"
"skillgroup","67068e9e85654550e384e2f8","67068ea585654550e385091b","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e36c","67068ea585654550e385091c","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea585654550e384feda","67068ea585654550e385091c","skill","2024-10-09T14:10:06.992Z","2024-10-09T14:10:06.992Z"
"skillgroup","67068e9e85654550e384e213","67068ea585654550e385091d","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e1eb","67068ea585654550e385091e","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e287","67068ea585654550e385091f","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skillgroup","67068e9e85654550e384e1e7","67068ea585654550e3850920","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
"skill","67068ea985654550e3851682","67068ea585654550e3850920","skill","2024-10-09T14:10:06.992Z","2024-10-09T14:10:06.992Z"
"skillgroup","67068e9e85654550e384e27a","67068ea585654550e3850921","skill","2024-10-09T14:10:00.709Z","2024-10-09T14:10:00.709Z"
